"","title","grade","time"
"1","조제, 호랑이 그리고 물고기들","10","20.07.08"
"2","큐브","10","20.07.08"
"3","소리꾼","10","20.07.08"
"4","후궁 : 제왕의 첩","10","20.07.08"
"5","장화, 홍련","10","20.07.08"
"6","#살아있다","7","20.07.08"
"7","인디아나 존스: 크리스탈 해골의 왕국","10","20.07.08"
"8","코코","10","20.07.08"
"9","밤쉘: 세상을 바꾼 폭탄선언","6","20.07.08"
"10","어린 의뢰인","10","20.07.08"
"11","#살아있다","1","20.07.08"
"12","타이타닉","10","20.07.08"
"13","너와 파도를 탈 수 있다면","6","20.07.08"
"14","사라진 시간","2","20.07.08"
"15","레알","10","20.07.08"
"16","트론: 새로운 시작","8","20.07.08"
"17","캐롤","2","20.07.08"
"18","그레이트 월","4","20.07.08"
"19","밤쉘: 세상을 바꾼 폭탄선언","7","20.07.08"
"20","#살아있다","8","20.07.08"
"21","사라진 시간","1","20.07.08"
"22","지금 만나러 갑니다","10","20.07.08"
"23","옛날 옛적 서부에서","10","20.07.08"
"24","밤쉘: 세상을 바꾼 폭탄선언","8","20.07.08"
"25","사라진 시간","8","20.07.08"
"26","그레이트 월","1","20.07.08"
"27","매트릭스","10","20.07.08"
"28","태극기 휘날리며","10","20.07.08"
"29","#살아있다","10","20.07.08"
"30","소공녀","8","20.07.08"
"31","너와 파도를 탈 수 있다면","10","20.07.08"
"32","히든 피겨스","10","20.07.08"
"33","결백","4","20.07.08"
"34","로마의 휴일","10","20.07.08"
"35","가타카","9","20.07.08"
"36","듀 데이트","10","20.07.08"
"37","조디악","10","20.07.08"
"38","#살아있다","1","20.07.08"
"39","사라진 시간","10","20.07.08"
"40","사라진 시간","2","20.07.08"
"41","트로이","9","20.07.08"
"42","#살아있다","1","20.07.08"
"43","겨울왕국","10","20.07.08"
"44","#살아있다","1","20.07.08"
"45","모아나","9","20.07.08"
"46","사라진 시간","1","20.07.08"
"47","#살아있다","1","20.07.08"
"48","분홍신","9","20.07.08"
"49","들리나요?","10","20.07.08"
"50","원더","10","20.07.08"
"51","팬텀 스레드","8","20.07.08"
"52","소리꾼","10","20.07.08"
"53","결백","8","20.07.08"
"54","기생충","7","20.07.08"
"55","불한당: 나쁜 놈들의 세상","10","20.07.08"
"56","너와 파도를 탈 수 있다면","10","20.07.08"
"57","진범","8","20.07.08"
"58","흥부: 글로 세상을 바꾼 자","2","20.07.08"
"59","유신의 추억 - 다카키 마사오의 전성시대","10","20.07.08"
"60","세븐데이즈","5","20.07.08"
"61","다크 나이트","10","20.07.08"
"62","용의자X적 헌신","8","20.07.08"
"63","클레멘타인","10","20.07.08"
"64","못","5","20.07.08"
"65","#살아있다","9","20.07.08"
"66","밤쉘: 세상을 바꾼 폭탄선언","10","20.07.08"
"67","에이리언","8","20.07.08"
"68","중2병이라도 사랑이 하고 싶어! 테이크 온 미","10","20.07.08"
"69","#살아있다","4","20.07.08"
"70","온워드: 단 하루의 기적","6","20.07.08"
"71","밤쉘: 세상을 바꾼 폭탄선언","10","20.07.08"
"72","함정","10","20.07.08"
"73","중2병이라도 사랑이 하고 싶어! 극장판","1","20.07.08"
"74","더 랍스터","8","20.07.08"
"75","백두산","6","20.07.08"
"76","마스터 앤드 커맨더: 위대한 정복자","10","20.07.08"
"77","결백","10","20.07.08"
"78","티에나: 10,000년 후","5","20.07.08"
"79","시체들의 새벽","9","20.07.08"
"80","남산의 부장들","10","20.07.08"
"81","그레텔과 헨젤","8","20.07.08"
"82","너와 파도를 탈 수 있다면","9","20.07.08"
"83","#살아있다","2","20.07.08"
"84","사라진 시간","1","20.07.08"
"85","시체들의 새벽","6","20.07.08"
"86","범죄와의 전쟁 : 나쁜놈들 전성시대","10","20.07.08"
"87","요가학원","5","20.07.08"
"88","소리꾼","10","20.07.08"
"89","킬 모드","1","20.07.08"
"90","레드 드래곤","10","20.07.08"
"91","마녀","2","20.07.08"
"92","사라진 시간","1","20.07.08"
"93","찬실이는 복도 많지","8","20.07.08"
"94","#살아있다","1","20.07.08"
"95","나비 효과","1","20.07.08"
"96","스윙키즈","10","20.07.08"
"97","안시성","8","20.07.08"
"98","파괴자들","10","20.07.08"
"99","신세계","6","20.07.08"
"100","남영동1985","1","20.07.08"
